open_time,open,high,low,close,volume
2025-06-17 03:37:00,359.85,361.02,359.82,360.01,157827.81807
2025-06-17 03:38:00,360.02,360.80,359.29,360.19,102964.26972
2025-06-17 03:39:00,360.26,360.74,359.83,360.18,128157.05877
2025-06-17 03:40:00,360.15,360.33,359.57,360.28,260701.61446
2025-06-17 03:41:00,360.32,361.42,360.32,361.31,71855.00760
2025-06-17 03:42:00,361.27,361.27,360.13,360.65,263696.19120
2025-06-17 03:43:00,360.67,360.74,359.91,359.97,137705.23695
2025-06-17 03:44:00,359.94,359.95,358.45,358.68,259766.36050
2025-06-17 03:45:00,358.67,360.05,358.37,360.05,155393.31901
2025-06-17 03:46:00,360.05,360.30,358.87,359.72,227737.91106
2025-06-17 03:47:00,359.72,360.05,359.06,359.22,123203.20867
2025-06-17 03:48:00,359.21,360.11,359.21,359.96,73946.94071
2025-06-17 03:49:00,359.99,361.25,359.71,361.14,134060.72085
2025-06-17 03:50:00,361.16,363.18,361.16,362.71,500544.69449
2025-06-17 03:51:00,362.64,363.32,362.22,363.08,231922.09981
2025-06-17 03:52:00,363.07,363.31,362.32,363.02,121068.87263
2025-06-17 03:53:00,363.02,363.67,362.88,363.48,135289.89121
2025-06-17 03:54:00,363.49,363.74,362.89,362.94,99118.94326
2025-06-17 03:55:00,362.95,363.93,362.80,363.93,324792.34919
2025-06-17 03:56:00,363.95,364.39,363.22,363.27,197193.73019
2025-06-17 03:57:00,363.27,363.88,363.25,363.88,66053.72927
2025-06-17 03:58:00,363.89,363.89,363.12,363.33,99500.96657
2025-06-17 03:59:00,363.31,364.33,363.28,364.01,171606.77651
2025-06-17 04:00:00,364.02,364.91,363.82,363.91,173591.09660
2025-06-17 04:01:00,363.90,363.91,362.61,362.81,144154.35174
2025-06-17 04:02:00,362.82,362.95,361.86,362.12,97283.85966
2025-06-17 04:03:00,362.13,364.09,362.13,363.85,160286.26317
2025-06-17 04:04:00,363.89,364.45,363.48,364.16,207205.49732
2025-06-17 04:05:00,364.17,364.51,363.91,364.12,109907.92142
2025-06-17 04:06:00,364.11,364.31,363.78,364.30,113399.37853
2025-06-17 04:07:00,364.32,364.81,363.59,363.86,147118.46785
2025-06-17 04:08:00,363.84,363.84,362.82,363.18,83279.06419
2025-06-17 04:09:00,363.18,363.43,362.95,363.13,58672.84297
2025-06-17 04:10:00,363.12,363.12,361.56,361.71,104974.07787
2025-06-17 04:11:00,361.68,363.04,361.68,362.95,59453.37108
2025-06-17 04:12:00,362.96,364.53,362.92,364.40,80677.27257
2025-06-17 04:13:00,364.39,364.42,363.89,364.13,48824.61524
2025-06-17 04:14:00,364.05,364.16,363.25,363.33,51624.99238
2025-06-17 04:15:00,363.36,363.81,363.17,363.53,101692.84329
2025-06-17 04:16:00,363.50,363.74,363.08,363.48,47294.66839
2025-06-17 04:17:00,363.49,364.37,363.13,364.32,124917.74895
2025-06-17 04:18:00,364.34,364.55,363.67,363.86,65768.54216
2025-06-17 04:19:00,363.87,364.31,363.48,363.66,37841.10778
2025-06-17 04:20:00,363.65,364.37,363.63,364.13,65407.38694
2025-06-17 04:21:00,364.12,364.64,363.73,364.55,70169.52651
2025-06-17 04:22:00,364.62,364.70,363.82,364.45,108860.90300
2025-06-17 04:23:00,364.38,366.09,364.24,365.53,251715.55928
2025-06-17 04:24:00,365.50,365.75,364.77,365.01,67145.29111
